Ruta,Origen,Destino,route_length,route_time,rain_length,heat_length,wind_length,rh_length,Unnamed: 9,Unnamed: 10,combined_weight_raw,combined_weight,rain_length_norm,heat_length_norm,wind_length_norm,rh_length_norm
"[261270053, 261201028, 305912657, 306085157, 12236460013, 369630790, 7786136953, 7786136948, 256170706, 157719713, 287487414, 12379462063, 369630846, 369630897, 369630899, 369630905, 409169165, 369630918, 4332542839, 4332542838, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 3570728338, 261163687, 4299934844, 4299934842, 6489536421, 4299934843, 261163689, 6489536428, 261163690, 261199541, 261252062, 261252065]",261270053,261252065,9111,696,696,202760867,3102078,53035664,20250610,t00z,0.029025612163356404,0.02833505523507221,4.594878204137803e-05,0.25526887140141996,0.1868821769686441,0.2206397858518737
"[310336998, 256170778, 256170712, 261125677, 261160027, 261156223, 256170711, 261311246, 289549880, 105254030, 261308456, 287487748, 287487813, 256170709, 256170708, 261295044, 287486474, 287486493, 287486475, 256170706, 7786136948, 7786136953, 369630790, 266649142, 310319149, 26703426, 9194526721, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 26703646, 26703648, 26703650, 260098503, 260098507, 260098559, 296373587, 48991450, 8725822327, 296370790, 1594888735, 296370420, 296370597, 296369597, 296370896, 296370957, 296371089, 4255701177, 296371182, 296371197, 296371331, 377189560, 377189436, 369872302, 261170559, 261170558, 43510493, 2424399938, 261170556, 261170554, 43513140, 369882174, 258967486, 917879910, 918512685, 354053097, 346054074, 261170547, 4909750702, 261119854, 261170545, 261170544, 261170543, 261170542, 261163631, 261170541, 261170540, 261170539, 261170538, 261170537, 261170535, 9223647485, 9223647487, 9223647482, 261170710, 261170711, 261170712, 261170714, 261143241, 261170715, 261170716, 261135315]",310336998,261135315,14644,900,900,262261816,4159704,69429432,20250610,t00z,0.04806361241030508,0.04920177900186499,0.00010453347914413501,0.5757550332908983,0.25098240456855625,0.440557417658804
"[1316173488, 1370022157, 257168818, 26794613, 26794608, 257168965, 26794605, 28357781, 2447758377, 26794602, 2869210430, 26794585, 26794629, 26794549, 1439714778, 26794627, 26794550, 26808648, 26794555, 26794556, 306045086, 26794558, 12244807466, 12244807465, 12244807464, 12244807431, 12244807428, 7413126429, 7413126428, 307940891, 307940886, 307940846, 11337127508, 307940832, 6969680327, 6969680316, 308435154, 7784238155, 9345003375, 12228522724, 7784238135, 7784238150, 7784238136, 7784238137, 7784238088, 7784238097, 7784238085, 7784238101, 7784238109, 263399268, 12228487119, 12228487117, 734844578, 366310702, 366310125, 296373826, 48991450, 8725822327, 296370790, 1594888735, 296370420, 296370597, 296369597, 296370896, 296370957, 296371089, 4255701177, 296371182, 296371197, 296371331, 377189560, 377189436, 369872302, 261170559, 261170558, 43510493, 2424399938, 261170556, 261170554, 43513140, 369882174, 258967486, 13032331591, 13032366949, 13032331588, 13032366990, 13032331594, 13032331595, 13032331597, 9506327662, 13032367084, 13032367094, 13032367109, 13032367127, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261163479, 261163658, 3224387928, 261163659, 261163660, 261123897, 261123896, 261123895, 408447510, 261123894, 261092567, 261123892, 261123889]",1316173488,261123889,12500,959,959,279479346,4526634,74779701,20250610,t00z,0.05406428184256662,0.05577885168989101,0.00012147709252189316,0.6684927156246194,0.2732211699858548,0.5123297208907416
"[261126491, 261126493, 261126494, 287487813, 256170709, 256170708, 261295044, 287486474, 287486493, 287486475, 256170706, 7786136948, 7786136953, 369630790, 266649142, 310319149, 26703426, 9194526721, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 6318015021, 261223351, 261191260, 261288995, 369649711, 369649712, 369649696, 369649681, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 261114519, 261296294, 408445314, 408448192, 408447594, 408447592, 261222789, 261093126, 9987154948, 261252888, 261252889, 261344392]",261126491,261344392,12336,806,806,234810297,3656460,62242913,20250610,t00z,0.039275134995010334,0.03956911127537702,7.753856969482541e-05,0.427894669545337,0.22048196779951862,0.3441523545021515
"[261229173, 310336918, 310336919, 310336954, 310336971, 310336998, 256170778, 256170712, 261125677, 261160027, 261156223, 256170711, 261311246, 289549880, 105254030, 261308456, 287487748, 287487813, 256170709, 256170708, 287486676, 287486914, 287487446, 369630898, 1316586904, 261164821, 261164820, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 364999232, 1369171980, 12488799128, 261259450, 261198410, 261258132, 261137218, 5405774428, 261259448, 551436855, 551436826, 261221018, 551436882, 551437001, 551437316, 551437163, 737123209, 5970470817, 5970470816, 5970470820, 5970470828]",261229173,5970470828,12115,925,925,269469946,4139191,70250218,20250610,t00z,0.049240177155844264,0.050491360429559734,0.00011171297633810032,0.6145797236013066,0.24973915982158804,0.45156802323406187
"[261250338, 261230020, 261158133, 261147362, 261250342, 261343866, 261233969, 261224600, 261343589, 261343596, 261298526, 261298552, 261280422, 365457025, 2168616088, 2168616103, 261299414, 365453420, 365453339, 365453626, 266716480, 26699785, 266716491, 288470605, 26699799, 26699807, 287237176, 287236713, 287237987, 287237906, 1272698314, 287238171, 709393174, 25779174, 4503178589, 4503178601, 709393461, 287261388, 258023775, 25779189, 10273279149, 287261610, 12064652336, 10273279150, 1105813012, 5967446823, 5967446812, 11943751614, 11943751618, 1937532132, 708281420, 345098144, 345098154, 261110014, 261261490, 261154210, 261154211]",261250338,261154211,20804,943,943,274691242,4327666,72901654,20250610,t00z,0.05174158072680375,0.05323304005280936,0.00011688221431775535,0.6427028568160204,0.2611621868622371,0.4871362663620383
"[257168009, 257168008, 257167960, 257110946, 13181739182, 271135238, 271135296, 11702272199, 257095285, 257114042, 26794487, 2650379781, 9922616964, 13176913353, 26794507, 11544798445, 11544798449, 11544798450, 26794514, 10845487575, 10845487578, 257973326, 26794523, 10845487567, 10845487570, 10845487559, 10845487562, 10845487551, 10845487554, 11544798461, 11544798465, 250755869, 250755865, 13151977790, 13151977793, 250755868, 10845363503, 258487909, 10845363495, 10845363498, 10845363486, 258487917, 250755854, 1638702869, 258964147, 258964179, 258964440, 250755884, 10845477611, 10845477614, 258964107, 269446333, 269446293, 269446276, 269446277, 269446278, 269446279, 269446281, 269446280, 269446290, 269446291, 269446289, 269446283, 269446284, 3884752870, 269446282, 10942548013, 740363336, 740363267, 28292362, 28292368, 28292395, 1536858520, 28358883, 28358888, 28358891, 28358895, 271167057, 271166846, 271166785, 258020679, 258020218, 258020677, 258020678, 287260505, 287257359, 287257360, 287262182, 35313343, 288070450, 288070420]",257168009,288070420,12119,777,777,226481432,4012868,61392210,20250610,t00z,0.03988284318266329,0.04023519377974115,6.921035294982565e-05,0.38303343587416294,0.2420830195119666,0.33274042106921214
"[4794223342, 256170756, 287235765, 734839838, 1479104340, 1479104354, 157719715, 256170706, 157719713, 287487414, 12379462063, 369630846, 369630897, 369630899, 369630905, 409169165, 369630918, 4332542839, 4332542838, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 364999232, 1369171980, 12488799128, 261259450, 261198410, 261258132, 261137218, 5405774428, 261259448, 551436855, 551436826, 261221018, 551436882, 551437001, 551437316, 551437163, 737123209, 5970470817, 5970470816, 737122967]",4794223342,737122967,9953,740,740,215645908,3353355,56058399,20250610,t00z,0.0331603551297282,0.032866967106425296,5.858469710275698e-05,0.32467074490563186,0.20211148571353418,0.2611888971226884
"[261190078, 261210241, 261268724, 261308460, 261222239, 266720647, 266720648, 266720661, 266720663, 266720675, 266720676, 266720691, 289549832, 261201034, 105254030, 261176983, 289549887, 289549891, 289549901, 289550181, 289549956, 316328770, 316329732, 316328746, 1369108730, 316328403, 316328460, 289550183, 256170572, 460465335, 460466418, 1369108736, 460467901, 460478911, 460469545, 460478074, 256170580, 261233643, 261145150, 261227537, 261253128, 261141684, 261191268, 261193479, 261236570, 261147099, 315576439, 261142610, 261203104, 261253127, 261209725, 261209703, 261253119, 8989219401, 261147723, 261216023, 261253115, 261253113, 261253111, 261146928, 261207125, 261245272, 261202149, 261119877, 261253109, 261253108, 261253107, 261215897, 261163697, 261252072, 261198421, 261253106, 261220907, 261162890, 261248469, 261253104, 261143315, 5970470862, 5970485326, 5970469766, 5970469770, 5970469768, 5970469769]",261190078,5970469769,10388,839,839,244408442,3671888,63733553,20250610,t00z,0.04118065648715323,0.041657670477628604,8.701550599085964e-05,0.47959254502474635,0.22141702264065474,0.3641488567508525
"[261132201, 261132220, 261141638, 261141637, 6877560033, 263985422, 307943367, 306057289, 306057301, 4332490274, 12237090031, 1475142953, 1475142967, 1475142963, 1475142950, 1475142964, 1475142956, 1475142965, 1475142942, 1475142961, 4081947054, 1475142955, 1475142945, 1475142977, 1475142960, 1475142943, 1475142944, 1475142976, 1475142954, 1475142971, 1475142958, 263372990, 256170556, 9194526725, 263372855, 263372613, 261160351, 261250167, 261250165, 261181609, 261250163, 158736266, 1286987023, 261250159, 261178084, 425580769, 261199734, 261139204, 261139259, 256171155, 318028685, 313441135, 256171157, 256171159, 261250154, 261145124, 261200366, 4083416912, 261223364, 367756530, 5586599461, 261191256, 256171163, 367756255, 4081947278, 261142609, 261142679, 4081947219, 261250102, 261250100, 261149697, 261250098, 4081947225, 261209740, 261250094, 3655147966, 13032428327, 261215999, 261250147, 261250144, 261250140, 5587068531, 261146874, 261207103, 261202213, 261250137, 261250135, 261163671, 261250133, 261250131, 261250129, 261198391, 261137236, 261250123, 261250121, 733198094, 261221010, 261230294, 261250117, 261250113, 261143260, 5970470853, 5970470851, 5970470845, 5970470844]",261132201,5970470844,12019,955,955,278100345,4351899,73619761,20250610,t00z,0.05257032584619952,0.05414139152119853,0.00012032837297085871,0.6610650906008279,0.2626308920712889,0.4967694630026141
